what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1223553555853
executed,command,org.eclipse.jdt.debug.ui,3.3.0.v20080603,org.eclipse.jdt.debug.ui.localJavaShortcut.run,1223553560347
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1223553560419
activated,view,org.eclipse.ui.navigator.resources,3.3.100.I20080606-1300,org.eclipse.ui.navigator.ProjectExplorer,1223553563550
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1223553567706
closed,editor,org.eclipse.ui.editors,3.4.0.v20080603-2000,org.eclipse.ui.DefaultTextEditor,1223553597425
closed,editor,org.eclipse.ui.editors,3.4.0.v20080603-2000,org.eclipse.ui.DefaultTextEditor,1223553597446
closed,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1223553602842
closed,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1223553602920
closed,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1223553602993
closed,editor,org.eclipse.ui.editors,3.4.0.v20080603-2000,org.eclipse.ui.DefaultTextEditor,1223553603048
closed,editor,org.eclipse.ui.editors,3.4.0.v20080603-2000,org.eclipse.ui.DefaultTextEditor,1223553603084
closed,editor,org.eclipse.ui.editors,3.4.0.v20080603-2000,org.eclipse.ui.DefaultTextEditor,1223553603123
closed,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1223553603214
closed,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1223553603376
executed,command,org.eclipse.ltk.ui.refactoring,3.4.0.v20080605-1800,org.eclipse.ltk.ui.refactoring.commands.deleteResources,1223553603566
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.delete,1223553603567
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1223553603611
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1223553606179
opened,view,org.tigris.subversion.subclipse.ui,1.4.5,org.tigris.subversion.subclipse.ui.repository.RepositoriesView,1223553609720
opened,view,org.eclipse.team.ui,3.4.0.I20080604,org.eclipse.team.ui.GenericHistoryView,1223553609860
opened,view,org.eclipse.mylyn.tasks.ui,3.0.0.v20080619-1900,org.eclipse.mylyn.tasks.ui.views.repositories,1223553609979
activated,perspective,org.tigris.subversion.subclipse.ui,1.4.5,org.tigris.subversion.subclipse.ui.svnPerspective,1223553610015
activated,view,org.eclipse.team.ui,3.4.0.I20080604,org.eclipse.team.ui.GenericHistoryView,1223553610020
started,bundle,org.eclipse.help.base,3.3.100.v20080617,org.eclipse.help.base,1223553610168
